index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
2885,European Championships 2014,02:06.7,8/24/2014,Women 200 Butterfly LCM Female,ESP,Spain,"IGNACIO, Judit",F,3/18/1994,177,Berlin,GER,0:02:06:66
2886,13th FINA World Championships 2009,02:06.7,7/29/2009,Women 200 Butterfly LCM Female,FRA,France,"MONGEL, Aurore",F,4/19/1982,178,Rome,ITA,0:02:06:66
2887,Olympic Swimming Trials 2020,02:06.7,6/23/2021,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,102,Toronto,CAN,0:02:06:67
2888,18th FINA World Championships 2019,02:06.7,7/27/2019,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,103,Gwangju,KOR,0:02:06:67
2889,18th FINA World Championships 2019,02:06.7,7/25/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,12/8/1998,6,Gwangju,KOR,0:02:06:67
2890,10th Tokyo Swimming Championships,02:06.7,1/28/2017,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,3/18/1997,7,Tokyo,JPN,0:02:06:67
2891,TYR Pro Swim Series Westmont 2022,02:06.7,3/3/2022,Women 200 Butterfly LCM Female,USA,United States of America,"FLICKINGER, Hali",F,7/7/1994,179,Westmont,USA,0:02:06:67
2892,Santa Clara Swim Club International Meet 2019,02:06.7,6/9/2019,Women 200 Butterfly LCM Female,USA,United States of America,"DRABOT, Katie",F,9/2/1997,180,Santa Clara,USA,0:02:06:67
2893,17th FINA World Championships 2017,02:06.7,7/27/2017,Women 200 Butterfly LCM Female,KOR,Republic of Korea,"AN, Sehyeon",F,10/14/1995,181,Budapest,HUN,0:02:06:67
2894,Olympic Games Rio 2016,02:06.7,8/9/2016,Women 200 Butterfly LCM Female,USA,United States of America,"ADAMS, Cammile",F,9/11/1991,182,Rio de Janeiro,BRA,0:02:06:67
2895,Olympic Games Rio 2016,02:06.7,8/9/2016,Women 200 Butterfly LCM Female,USA,United States of America,"FLICKINGER, Hali",F,7/7/1994,183,Rio de Janeiro,BRA,0:02:06:67
2896,13th FINA World Championships 2009,02:06.7,7/29/2009,Women 200 Butterfly LCM Female,CAN,Canada,"LACROIX, Audrey",F,11/17/1983,184,Rome,ITA,0:02:06:67
2897,2012 EnergyAustralia Swimming,02:06.7,3/15/2012,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,9/14/1990,104,Adelaide,AUS,0:02:06:68
2898,18th FINA World Championships 2019,02:06.7,7/26/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,12/8/1998,8,Gwangju,KOR,0:02:06:68
2899,TYR Pro Swim Series Mission Viejo 2021,02:06.7,4/9/2021,Women 200 Butterfly LCM Female,USA,United States of America,"FLICKINGER, Hali",F,7/7/1994,185,Mission Viejo,USA,0:02:06:68
2900,12th Pan Pacific Championships 2014,02:06.7,8/21/2014,Women 200 Butterfly LCM Female,JPN,Japan,"HOSHI, Natsumi",F,8/21/1990,186,Gold Coast,AUS,0:02:06:68
2901,Australian National Championships (50m),02:06.7,4/8/2015,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,105,Sydney,AUS,0:02:06:69
2902,14th FINA World Championships 2011,02:06.7,7/27/2011,Women 200 Butterfly LCM Female,CHN,People's Republic of China,"LIU, Zige",F,3/31/1989,187,Shanghai,CHN,0:02:06:69
2903,Canadian Swimming Trials 2019,02:06.7,4/5/2019,Women 200 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,5/28/2000,106,Toronto,CAN,0:02:06:70
2904,TYR Pro Swim Series Indianapolis 2021,02:06.7,5/13/2021,Women 200 Butterfly LCM Female,USA,United States of America,"FLICKINGER, Hali",F,7/7/1994,188,Indianapolis,USA,0:02:06:70
2905,Mare Nostrum -  35th Meeting International de Natation de Monte Carlo 2017,02:06.7,6/11/2017,Women 200 Butterfly LCM Female,JPN,Japan,"HASEGAWA, Suzuka",F,1/25/2000,189,Monaco,MON,0:02:06:70
2906,Spanish Open Championships,02:06.7,3/21/2013,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,11/10/1990,190,Pontevedra,ESP,0:02:06:70
2907,17th FINA World Championships 2017,02:06.7,7/26/2017,Women 200 Butterfly LCM Female,ESP,Spain,"BELMONTE, Mireia",F,11/10/1990,191,Budapest,HUN,0:02:06:71
2908,European Championships 2010,02:06.7,8/15/2010,Women 200 Butterfly LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,192,Budapest,HUN,0:02:06:71
2909,European Championships 2008,02:06.7,3/24/2008,Women 200 Butterfly LCM Female,HUN,Hungary,"KOVACS, Emese",F,3/1/1991,193,Eindhoven,NED,0:02:06:71
2910,12th FINA World Championships 2007,02:06.7,3/29/2007,Women 200 Butterfly LCM Female,USA,United States of America,"VANDENBERG, Kim",F,12/13/1983,194,Melbourne,AUS,0:02:06:71
2911,13th FINA World Championships 2009,02:06.7,7/31/2009,Women 200 Backstroke LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,9/16/1983,107,Rome,ITA,0:02:06:72
2912,19th FINA World Championships Budapest 2022,02:06.7,6/22/2022,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,1/4/1999,9,Budapest,HUN,0:02:06:72
2913,18th FINA World Championships 2019,02:06.7,7/26/2019,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,3/18/1997,10,Gwangju,KOR,0:02:06:73
2914,US Olympic Team Trials - Wave II,02:06.7,6/16/2021,Women 200 Butterfly LCM Female,USA,United States of America,"FLICKINGER, Hali",F,7/7/1994,195,Omaha,USA,0:02:06:73
2915,FINA/airweave Swimming World Cup 2015,02:06.7,8/16/2015,Women 200 Butterfly LCM Female,USA,United States of America,"ADAMS, Cammile",F,9/11/1991,196,Paris-Chartres,FRA,0:02:06:73
2916,14th FINA World Championships 2011,02:06.7,7/27/2011,Women 200 Butterfly LCM Female,GBR,Great Britain,"GANDY, Ellen",F,8/15/1991,197,Shanghai,CHN,0:02:06:73
2917,9th FINA World Championships 2001,02:06.7,7/23/2001,Women 200 Butterfly LCM Female,AUS,Australia,"THOMAS, Petria",F,8/25/1975,198,Fukuoka,JPN,0:02:06:73
2918,Japan National Championships 2020 (50m),02:06.7,2/7/2021,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,2/8/2001,11,Tokyo,JPN,0:02:06:74
2919,Olympic Games Rio 2016,02:06.7,8/9/2016,Women 200 Butterfly LCM Female,JPN,Japan,"HOSHI, Natsumi",F,8/21/1990,199,Rio de Janeiro,BRA,0:02:06:74
2920,15th FINA World Championships 2013,02:06.7,7/31/2013,Women 200 Butterfly LCM Female,USA,United States of America,"ADAMS, Cammile",F,9/11/1991,200,Barcelona,ESP,0:02:06:75
2921,17th FINA World Championships 2017,02:06.8,7/29/2017,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,108,Budapest,HUN,0:02:06:76
2922,Olympic Games Beijing 2008,02:06.8,8/14/2008,Women 200 Backstroke LCM Female,ZIM,Zimbabwe,"COVENTRY, Kirsty",F,9/16/1983,109,Beijing,CHN,0:02:06:76
2923,Phillips 66 International Team Trials 2022,02:06.8,4/27/2022,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,8/12/2002,110,Greensboro,USA,0:02:06:78
2924,Kosuke Kitajima Cup 2021,02:06.8,1/24/2021,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,2/8/2001,12,Tokyo,JPN,0:02:06:78
2925,US Olympic Team Trials - Wave II,02:06.8,6/19/2021,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,111,Omaha,USA,0:02:06:79
2926,British Gas National Championships (50m),02:06.8,4/2/2010,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,1/22/1991,112,Sheffield,GBR,0:02:06:79
2927,15th FINA World Championships 2013,02:06.8,8/3/2013,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,3/13/1991,113,Barcelona,ESP,0:02:06:80
2928,European Championships 2018,02:06.8,8/6/2018,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,13,Glasgow,GBR,0:02:06:80
2929,Meeting International circuit FFN - Golden tour,02:06.8,5/22/2015,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,114,Nancy,FRA,0:02:06:81
2930,Hancock Prospecting Australian Swimming Trials 2019,02:06.8,6/14/2019,Women 200 Backstroke LCM Female,AUS,Australia,"ATHERTON, Minna",F,5/17/2000,115,Brisbane,AUS,0:02:06:82
2931,21st Commonwealth Games 2018,02:06.8,4/8/2018,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,116,Gold Coast,AUS,0:02:06:82
2932,17th FINA World Championships 2017,02:06.8,7/28/2017,Women 200 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,117,Budapest,HUN,0:02:06:82
2933,18th FINA World Championships 2019,02:06.8,7/25/2019,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,14,Gwangju,KOR,0:02:06:83
2934,TYR Pro Swim Series Indianapolis 2021,02:06.8,5/14/2021,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,8/12/2002,118,Indianapolis,USA,0:02:06:84
2935,16th FINA World Championships 2015,02:06.8,8/8/2015,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,119,Kazan,RUS,0:02:06:84
2936,Olympic Games London 2012,02:06.8,8/2/2012,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,120,London,GBR,0:02:06:84
2937,16th FINA World Championships 2015,02:06.8,8/2/2015,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,4,Kazan,RUS,0:02:06:84
2938,Rotterdam Qualification Meet,02:06.9,12/4/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,15,Rotterdam,NED,0:02:06:85
2939,56th International Trophy “Settecolli”,02:06.9,6/23/2019,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,121,Rome,ITA,0:02:06:87
2940,Swim England Winter Champs 2017,02:06.9,12/16/2017,Women 200 Backstroke LCM Female,CAN,Canada,"RUCK, Taylor",F,5/28/2000,122,Sheffield,GBR,0:02:06:87
2941,Mare Nostrum -  Meeting International de Canet-en-Roussillon 2016,02:06.9,6/8/2016,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,123,Canet-en-Roussillon,FRA,0:02:06:88
2942,2011 Telstra Australian Swimming Championships,02:06.9,4/1/2011,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,9/14/1990,124,Sydney,AUS,0:02:06:88
2943,Olympic Games Rio 2016,02:06.9,8/9/2016,Women 200 Medley LCM Female,GBR,Great Britain,"O'CONNOR, Siobhan",F,11/29/1995,5,Rio de Janeiro,BRA,0:02:06:88
2944,TYR Pro Swim Series Indianapolis 2021,02:06.9,5/14/2021,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,125,Indianapolis,USA,0:02:06:90
2945,US Olympic Team Trials - Swimming,02:06.9,7/2/2016,Women 200 Backstroke LCM Female,USA,United States of America,"DI RADO, Maya",F,4/5/1993,126,Omaha,USA,0:02:06:90
2946,Russian National Championships (50m),02:06.9,4/22/2016,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,127,Moscow,RUS,0:02:06:92
2947,Russian National Championships (50m),02:06.9,4/16/2016,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,128,Moscow,RUS,0:02:06:92
2948,FINA Champions Swim Series 2019,02:06.9,5/31/2019,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,129,Indianapolis,USA,0:02:06:94
2949,FINA/airweave Swimming World Cup 2015,02:06.9,11/6/2015,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,130,Dubai,UAE,0:02:06:94
2950,19th FINA World Championships Budapest 2022,02:07.0,6/24/2022,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,131,Budapest,HUN,0:02:06:96
2951,17th FINA World Championships 2017,02:07.0,7/28/2017,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,16,Budapest,HUN,0:02:06:96
2952,European Championships 2021,02:07.0,5/20/2021,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,17,Budapest,HUN,0:02:06:99
2953,13th Pan Pacific Championships 2018,02:07.0,8/12/2018,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,132,Tokyo,JPN,0:02:07:00
2954,13th FINA World Championships 2009,02:07.0,7/31/2009,Women 200 Backstroke LCM Female,RUS,Russian Federation,"ZUEVA, Anastasia",F,5/8/1990,133,Rome,ITA,0:02:07:00
2955,Sydney Open 2021,02:07.0,5/15/2021,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,1/4/1999,18,Sydney,AUS,0:02:07:00
2956,Russian National Championships (50m),02:07.0,4/9/2019,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,19,Moscow,RUS,0:02:07:00
2957,17th FINA World Championships 2017,02:07.0,7/24/2017,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,6,Budapest,HUN,0:02:07:00
2958,13th Pan Pacific Championships 2018,02:07.0,8/12/2018,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,134,Tokyo,JPN,0:02:07:01
2959,European Championships 2016,02:07.0,5/17/2016,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,135,London,GBR,0:02:07:01
2960,Olympic Games Tokyo 2020,02:07.0,7/29/2021,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,20,Tokyo,JPN,0:02:07:01
2961,67th Japan National Sports Festival - Swimming Com,02:07.0,9/15/2012,Men 200 Breaststroke LCM Male,JPN,Japan,"YAMAGUCHI, Akihiro",M,9/11/1994,21,Gifu,JPN,0:02:07:01
2962,Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,02:07.0,6/16/2018,Women 200 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,136,Monaco,MON,0:02:07:02
2963,Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,02:07.0,6/16/2018,Women 200 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,137,Monaco,MON,0:02:07:02
2964,Japan Inter-College Swimming Competition,02:07.0,10/4/2020,Men 200 Breaststroke LCM Male,JPN,Japan,"SATO, Shoma",M,2/8/2001,22,Tokyo,JPN,0:02:07:02
2965,Japan National Championships (50m),02:07.0,4/7/2019,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,3/18/1997,23,Tokyo,JPN,0:02:07:02
2966,18th FINA World Championships 2019,02:07.0,7/21/2019,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,7,Gwangju,KOR,0:02:07:02
2967,US National Championships (50m),02:07.0,7/26/2018,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,138,Irvine,USA,0:02:07:03
2968,Hancock Prospecting Australian,02:07.0,4/12/2017,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,139,Brisbane,AUS,0:02:07:03
2969,13th FINA World Championships 2009,02:07.0,7/27/2009,Women 200 Medley LCM Female,AUS,Australia,"RICE, Stephanie",F,6/17/1988,8,Rome,ITA,0:02:07:03
2970,13th FINA World Championships 2009,02:07.0,7/26/2009,Women 200 Medley LCM Female,USA,United States of America,"KUKORS, Ariana",F,6/1/1989,9,Rome,ITA,0:02:07:03
2971,19th FINA World Championships Budapest 2022,02:07.0,6/23/2022,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,140,Budapest,HUN,0:02:07:04
2972,17th FINA World Championships 2017,02:07.0,7/29/2017,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,141,Budapest,HUN,0:02:07:04
2973,European Championships 2010,02:07.0,8/10/2010,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,1/22/1991,142,Budapest,HUN,0:02:07:04
2974,Sydney Open 2021,02:07.1,5/13/2021,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,143,Sydney,AUS,0:02:07:06
2975,Olympic Games Barcelona 1992,02:07.1,7/31/1992,Women 200 Backstroke LCM Female,HUN,Hungary,"EGERSZEGI, Krisztina",F,8/16/1974,144,Barcelona,ESP,0:02:07:06
2976,Atlanta Classic 2021,02:07.1,5/16/2021,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,145,Atlanta,USA,0:02:07:07
2977,19th FINA World Championships Budapest 2022,02:07.1,6/23/2022,Men 200 Breaststroke LCM Male,AUS,Australia,"STUBBLETY-COOK, Zac",M,1/4/1999,24,Budapest,HUN,0:02:07:07
2978,17th FINA World Championships 2017,02:07.1,7/28/2017,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,146,Budapest,HUN,0:02:07:08
2979,Japan National Championships (50m),02:07.1,12/6/2020,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,3/18/1997,25,Tokoy,JPN,0:02:07:08
2980,Toyota US Open 2021,02:07.1,12/4/2021,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,147,Greensboro,USA,0:02:07:09
2981,Olympic Games Tokyo 2020,02:07.1,7/30/2021,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,148,Tokyo,JPN,0:02:07:09
2982,Olympic Games Tokyo 2020,02:07.1,7/30/2021,Women 200 Backstroke LCM Female,USA,United States of America,"BACON, Phoebe",F,8/12/2002,149,Tokyo,JPN,0:02:07:10
2983,Sydney Open Meet 2019,02:07.1,5/10/2019,Women 200 Backstroke LCM Female,AUS,Australia,"MCKEOWN, Kaylee",F,7/12/2001,150,Sydney,AUS,0:02:07:10
2984,Madrid Open,02:07.1,3/17/2019,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,151,Madrid,ESP,0:02:07:12
2985,13th Pan Pacific Championships 2018,02:07.1,8/12/2018,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,152,Tokyo,JPN,0:02:07:12
2986,European Championships 2018,02:07.1,8/9/2018,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,153,Glasgow,GBR,0:02:07:12
2987,European Championships 2022,02:07.1,8/12/2022,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,154,Rome,ITA,0:02:07:13
2988,FINA/airweave Swimming World Cup 2015,02:07.1,11/6/2015,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,155,Dubai,UAE,0:02:07:13
2989,Olympic Games Beijing 2008,02:07.1,8/16/2008,Women 200 Backstroke LCM Female,JPN,Japan,"NAKAMURA, Reiko",F,5/17/1982,156,Beijing,CHN,0:02:07:13
2990,Olympic Games Tokyo 2020,02:07.1,7/29/2021,Men 200 Breaststroke LCM Male,FIN,Finland,"MATTSSON, Matti",M,10/5/1993,26,Tokyo,JPN,0:02:07:13
2991,19th FINA World Championships Budapest 2022,02:07.1,6/19/2022,Women 200 Medley LCM Female,USA,United States of America,"WALSH, Alex",F,7/31/2001,10,Budapest,HUN,0:02:07:13
2992,US Winter National Championships (50m),02:07.1,12/1/2011,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,157,Atlanta,USA,0:02:07:14
2993,17th FINA World Championships 2017,02:07.1,7/27/2017,Men 200 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,2/22/1997,27,Budapest,HUN,0:02:07:14
2994,17th FINA World Championships 2017,02:07.1,7/23/2017,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,11,Budapest,HUN,0:02:07:14
2995,17th FINA World Championships 2017,02:07.2,7/29/2017,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,3/13/1991,158,Budapest,HUN,0:02:07:15
2996,15th FINA World Championships 2013,02:07.2,8/2/2013,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,3/13/1991,159,Barcelona,ESP,0:02:07:15
2997,55th International Trophy “Settecolli”,02:07.2,7/1/2018,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,160,Rome,ITA,0:02:07:16
2998,55th International Trophy “Settecolli”,02:07.2,6/29/2018,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,161,Rome,ITA,0:02:07:16
2999,44th Santa Clara International,02:07.2,6/16/2011,Women 200 Backstroke LCM Female,AUS,Australia,"NAY, Meagen",F,10/5/1988,162,Santa Clara,USA,0:02:07:16
3000,12th FINA World Championships 2007,02:07.2,3/31/2007,Women 200 Backstroke LCM Female,USA,United States of America,"HOELZER, Margaret",F,3/30/1983,163,Melbourne,AUS,0:02:07:16
3001,Hancock Prospecting Australian National Championships (50m),02:07.2,4/8/2019,Men 200 Breaststroke LCM Male,AUS,Australia,"WILSON, Matthew",M,12/8/1998,28,Adelaide,AUS,0:02:07:16
3002,Olympic Games Rio 2016,02:07.2,8/11/2016,Women 200 Backstroke LCM Female,CAN,Canada,"CALDWELL, Hilary",F,3/13/1991,164,Rio de Janeiro,BRA,0:02:07:17
3003,16th FINA World Championships 2015,02:07.2,8/7/2015,Women 200 Backstroke LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,165,Kazan,RUS,0:02:07:17
3004,2013 EnergyAustralia Swimming,02:07.2,4/26/2013,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,9/14/1990,166,Adelaide,AUS,0:02:07:17
3005,Rotterdam Qualification Meet,02:07.2,12/4/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,29,Rotterdam,NED,0:02:07:17
3006,US Olympic Team Trials - Swimming,02:07.2,6/30/2016,Men 200 Breaststroke LCM Male,USA,United States of America,"PRENOT, Josh",M,7/28/1993,30,Omaha,USA,0:02:07:17
3007,18th FINA World Championships 2019,02:07.2,7/21/2019,Women 200 Medley LCM Female,HUN,Hungary,"HOSSZU, Katinka",F,5/3/1989,12,Gwangju,KOR,0:02:07:17
3008,Victorian Open Championships 2016,02:07.2,1/22/2016,Women 200 Backstroke LCM Female,AUS,Australia,"WILSON, Madison",F,5/31/1994,167,Melbourne,AUS,0:02:07:18
3009,Antwerp Diamond Speedo Race,02:07.2,3/8/2020,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,31,Antwerp,BEL,0:02:07:18
3010,Japan Swim 2017,02:07.2,4/16/2017,Men 200 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,3/14/1992,32,Aichi,JPN,0:02:07:18
3011,17th FINA World Championships 2017,02:07.2,7/28/2017,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,168,Budapest,HUN,0:02:07:19
3012,FINA/airweave Swimming World Cup 2015,02:07.2,11/2/2015,Women 200 Backstroke LCM Female,AUS,Australia,"SEEBOHM, Emily",F,6/5/1992,169,Doha,QAT,0:02:07:19
3013,13th FINA World Championships 2009,02:07.2,7/31/2009,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,1/22/1991,170,Rome,ITA,0:02:07:21
3014,Meeting International FFN - Golden Tour,02:07.2,2/8/2020,Women 200 Backstroke LCM Female,USA,United States of America,"BAKER, Kathleen",F,2/28/1997,171,Nice,FRA,0:02:07:22
3015,Olympic Games Rio 2016,02:07.2,8/9/2016,Men 200 Breaststroke LCM Male,JPN,Japan,"WATANABE, Ippei",M,3/18/1997,33,Rio de Janeiro,BRA,0:02:07:22
3016,US Olympic Team Trials - Wave II,02:07.2,6/18/2021,Women 200 Backstroke LCM Female,USA,United States of America,"SMITH, Regan",F,2/9/2002,172,Omaha,USA,0:02:07:23
3017,Russian National Championships (50m),02:07.2,4/11/2017,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,173,Moscow,RUS,0:02:07:23
3018,Russian National Championships (50m),02:07.2,4/8/2017,Women 200 Backstroke LCM Female,RUS,Russian Federation,"USTINOVA, Daria K",F,8/29/1998,174,Moscow,RUS,0:02:07:23
3019,Canadian Swimming Trials 2017,02:07.2,4/8/2017,Women 200 Backstroke LCM Female,CAN,Canada,"MASSE, Kylie",F,1/18/1996,175,Victoria,CAN,0:02:07:23
3020,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2021,02:07.2,6/5/2021,Men 200 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,10/22/1995,34,Barcelona,ESP,0:02:07:23
3021,15th FINA World Championships 2013,02:07.2,8/2/2013,Men 200 Breaststroke LCM Male,HUN,Hungary,"GYURTA, Daniel",M,5/4/1989,35,Barcelona,ESP,0:02:07:23
3022,TYR Pro Swim Series Mission Viejo 2021,02:07.2,4/10/2021,Women 200 Backstroke LCM Female,USA,United States of America,"WHITE, Rhyan",F,1/25/2000,176,Mission Viejo,USA,0:02:07:24
3023,Arena Pro Series Minneapolis 2015,02:07.2,11/14/2015,Women 200 Backstroke LCM Female,USA,United States of America,"FRANKLIN, Missy",F,5/10/1995,177,Minneapolis,USA,0:02:07:24
3024,20th Commonwealth Games 2014,02:07.2,7/27/2014,Women 200 Backstroke LCM Female,AUS,Australia,"HOCKING, Belinda",F,9/14/1990,178,Glasgow,GBR,0:02:07:24
3025,European Championships 1995,02:07.2,8/22/1995,Women 200 Backstroke LCM Female,HUN,Hungary,"EGERSZEGI, Krisztina",F,8/16/1974,179,Vienna,AUT,0:02:07:24
3026,Olympic Games Tokyo 2020,02:07.2,7/29/2021,Men 200 Breaststroke LCM Male,ROC,ROC,"CHUPKOV, Anton",M,2/22/1997,36,Tokyo,JPN,0:02:07:24
3027,Olympic Games London 2012,02:07.3,8/3/2012,Women 200 Backstroke LCM Female,GBR,Great Britain,"SIMMONDS, Elizabeth",F,1/22/1991,180,London,GBR,0:02:07:26
3028,19th FINA World Championships Budapest 2022,02:07.3,6/24/2022,Women 200 Backstroke LCM Female,ITA,Italy,"PANZIERA, Margherita",F,8/12/1995,181,Budapest,HUN,0:02:07:27
